Game Date,Visitor/Neutral,Home/Neutral
3/18/2025,Washington Wizards,Portland Trail Blazers
3/18/2025,Cleveland Cavaliers,Los Angeles Clippers
3/18/2025,Milwaukee Bucks,Los Angeles Lakers
3/19/2025,Dallas Mavericks,Indiana Pacers
3/19/2025,Houston Rockets,Orlando Magic
3/19/2025,Detroit Pistons,Miami Heat
3/19/2025,New Orleans Pelicans,Minnesota Timberwolves
3/19/2025,Philadelphia 76ers,Oklahoma City Thunder
3/19/2025,New York Knicks,San Antonio Spurs
3/19/2025,Los Angeles Clippers,Utah Jazz
3/19/2025,Toronto Raptors,Golden State Warriors
3/19/2025,Denver Nuggets,Los Angeles Lakers
3/19/2025,Chicago Bulls,Phoenix Suns
3/19/2025,Memphis Grizzlies,Portland Trail Blazers
3/19/2025,Cleveland Cavaliers,Sacramento Kings
3/20/2025,New York Knicks,Charlotte Hornets
3/20/2025,Brooklyn Nets,Indiana Pacers
3/20/2025,Milwaukee Bucks,Golden State Warriors
3/20/2025,Chicago Bulls,Sacramento Kings
3/21/2025,Orlando Magic,Washington Wizards
3/21/2025,Houston Rockets,Miami Heat
3/21/2025,New Orleans Pelicans,Minnesota Timberwolves
3/21/2025,Charlotte Hornets,Oklahoma City Thunder
3/21/2025,Philadelphia 76ers,San Antonio Spurs
3/21/2025,Detroit Pistons,Dallas Mavericks
3/21/2025,Boston Celtics,Utah Jazz
3/21/2025,Cleveland Cavaliers,Phoenix Suns
3/21/2025,Denver Nuggets,Portland Trail Blazers
3/21/2025,Memphis Grizzlies,Los Angeles Clippers
3/22/2025,Brooklyn Nets,Indiana Pacers
3/22/2025,Golden State Warriors,Atlanta Hawks
3/22/2025,Washington Wizards,New York Knicks
3/22/2025,Milwaukee Bucks,Sacramento Kings
3/22/2025,Chicago Bulls,Los Angeles Lakers
3/23/2025,New Orleans Pelicans,Detroit Pistons
3/23/2025,Cleveland Cavaliers,Utah Jazz
3/23/2025,Philadelphia 76ers,Atlanta Hawks
3/23/2025,Charlotte Hornets,Miami Heat
3/23/2025,Boston Celtics,Portland Trail Blazers
3/23/2025,San Antonio Spurs,Toronto Raptors
3/23/2025,Denver Nuggets,Houston Rockets
3/23/2025,Oklahoma City Thunder,Los Angeles Clippers
3/24/2025,Minnesota Timberwolves,Indiana Pacers
3/24/2025,Los Angeles Lakers,Orlando Magic
3/24/2025,Toronto Raptors,Washington Wizards
3/24/2025,Dallas Mavericks,Brooklyn Nets
3/24/2025,Philadelphia 76ers,New Orleans Pelicans
3/24/2025,Chicago Bulls,Denver Nuggets
3/24/2025,Milwaukee Bucks,Phoenix Suns
3/24/2025,Boston Celtics,Sacramento Kings
3/25/2025,Orlando Magic,Charlotte Hornets
3/25/2025,San Antonio Spurs,Detroit Pistons
3/25/2025,Golden State Warriors,Miami Heat
3/25/2025,Dallas Mavericks,New York Knicks
3/25/2025,Atlanta Hawks,Houston Rockets
3/25/2025,Memphis Grizzlies,Utah Jazz
3/25/2025,Cleveland Cavaliers,Portland Trail Blazers
3/25/2025,Oklahoma City Thunder,Sacramento Kings
3/26/2025,Washington Wizards,Philadelphia 76ers
3/26/2025,Toronto Raptors,Brooklyn Nets
3/26/2025,Los Angeles Lakers,Indiana Pacers
3/26/2025,Los Angeles Clippers,New York Knicks
3/26/2025,Milwaukee Bucks,Denver Nuggets
3/26/2025,Boston Celtics,Phoenix Suns
3/27/2025,San Antonio Spurs,Cleveland Cavaliers
3/27/2025,Dallas Mavericks,Orlando Magic
3/27/2025,Indiana Pacers,Washington Wizards
3/27/2025,Atlanta Hawks,Miami Heat
3/27/2025,Los Angeles Lakers,Chicago Bulls
3/27/2025,Memphis Grizzlies,Oklahoma City Thunder
3/27/2025,Houston Rockets,Utah Jazz
3/27/2025,Portland Trail Blazers,Sacramento Kings
3/28/2025,Cleveland Cavaliers,Detroit Pistons
3/28/2025,Los Angeles Clippers,Brooklyn Nets
3/28/2025,Charlotte Hornets,Toronto Raptors
3/28/2025,New York Knicks,Milwaukee Bucks
3/28/2025,Phoenix Suns,Minnesota Timberwolves
3/28/2025,Golden State Warriors,New Orleans Pelicans
3/28/2025,Utah Jazz,Denver Nuggets
3/29/2025,Sacramento Kings,Orlando Magic
3/29/2025,Brooklyn Nets,Washington Wizards
3/29/2025,Miami Heat,Philadelphia 76ers
3/29/2025,Dallas Mavericks,Chicago Bulls
3/29/2025,Los Angeles Lakers,Memphis Grizzlies
3/29/2025,Indiana Pacers,Oklahoma City Thunder
3/29/2025,Boston Celtics,San Antonio Spurs
3/30/2025,Los Angeles Clippers,Cleveland Cavaliers
3/30/2025,Portland Trail Blazers,New York Knicks
3/30/2025,Atlanta Hawks,Milwaukee Bucks
3/30/2025,Detroit Pistons,Minnesota Timberwolves
3/30/2025,Charlotte Hornets,New Orleans Pelicans
3/30/2025,Golden State Warriors,San Antonio Spurs
3/30/2025,Toronto Raptors,Philadelphia 76ers
3/30/2025,Houston Rockets,Phoenix Suns
3/31/2025,Utah Jazz,Charlotte Hornets
3/31/2025,Sacramento Kings,Indiana Pacers
3/31/2025,Los Angeles Clippers,Orlando Magic
3/31/2025,Miami Heat,Washington Wizards
3/31/2025,Boston Celtics,Memphis Grizzlies
3/31/2025,Chicago Bulls,Oklahoma City Thunder
3/31/2025,Brooklyn Nets,Dallas Mavericks
3/31/2025,Houston Rockets,Los Angeles Lakers
4/1/2025,Portland Trail Blazers,Atlanta Hawks
4/1/2025,Philadelphia 76ers,New York Knicks
4/1/2025,Toronto Raptors,Chicago Bulls
4/1/2025,Golden State Warriors,Memphis Grizzlies
4/1/2025,Phoenix Suns,Milwaukee Bucks
4/1/2025,Minnesota Timberwolves,Denver Nuggets
4/2/2025,New York Knicks,Cleveland Cavaliers
4/2/2025,Charlotte Hornets,Indiana Pacers
4/2/2025,Sacramento Kings,Washington Wizards
4/2/2025,Miami Heat,Boston Celtics
4/2/2025,Utah Jazz,Houston Rockets
4/2/2025,Detroit Pistons,Oklahoma City Thunder
4/2/2025,Atlanta Hawks,Dallas Mavericks
4/2/2025,San Antonio Spurs,Denver Nuggets
4/2/2025,New Orleans Pelicans,Los Angeles Clippers
4/3/2025,Orlando Magic,Washington Wizards
4/3/2025,Minnesota Timberwolves,Brooklyn Nets
4/3/2025,Memphis Grizzlies,Miami Heat
4/3/2025,Milwaukee Bucks,Philadelphia 76ers
4/3/2025,Portland Trail Blazers,Toronto Raptors
4/3/2025,Golden State Warriors,Los Angeles Lakers
4/4/2025,Sacramento Kings,Charlotte Hornets
4/4/2025,Utah Jazz,Indiana Pacers
4/4/2025,Phoenix Suns,Boston Celtics
4/4/2025,Detroit Pistons,Toronto Raptors
4/4/2025,Portland Trail Blazers,Chicago Bulls
4/4/2025,Oklahoma City Thunder,Houston Rockets
4/4/2025,Cleveland Cavaliers,San Antonio Spurs
4/4/2025,Denver Nuggets,Golden State Warriors
4/4/2025,Dallas Mavericks,Los Angeles Clippers
4/4/2025,New Orleans Pelicans,Los Angeles Lakers
4/5/2025,New York Knicks,Atlanta Hawks
4/5/2025,Memphis Grizzlies,Detroit Pistons
4/5/2025,Minnesota Timberwolves,Philadelphia 76ers
4/5/2025,Milwaukee Bucks,Miami Heat
4/5/2025,Dallas Mavericks,Los Angeles Clippers
4/6/2025,Chicago Bulls,Charlotte Hornets
4/6/2025,Toronto Raptors,Brooklyn Nets
4/6/2025,Los Angeles Lakers,Oklahoma City Thunder
4/6/2025,Utah Jazz,Atlanta Hawks
4/6/2025,Washington Wizards,Boston Celtics
4/6/2025,Sacramento Kings,Cleveland Cavaliers
4/6/2025,San Antonio Spurs,Portland Trail Blazers
4/6/2025,Orlando Magic,New Orleans Pelicans
4/6/2025,Phoenix Suns,New York Knicks
4/6/2025,Indiana Pacers,Denver Nuggets
4/6/2025,Houston Rockets,Golden State Warriors
4/7/2025,Sacramento Kings,Detroit Pistons
4/7/2025,Philadelphia 76ers,Miami Heat
4/8/2025,Memphis Grizzlies,Charlotte Hornets
4/8/2025,Chicago Bulls,Cleveland Cavaliers
4/8/2025,Washington Wizards,Indiana Pacers
4/8/2025,Atlanta Hawks,Orlando Magic
4/8/2025,New Orleans Pelicans,Brooklyn Nets
4/8/2025,Boston Celtics,New York Knicks
4/8/2025,Minnesota Timberwolves,Milwaukee Bucks
4/8/2025,Los Angeles Lakers,Oklahoma City Thunder
4/8/2025,Golden State Warriors,Phoenix Suns
4/8/2025,San Antonio Spurs,Los Angeles Clippers
4/9/2025,Boston Celtics,Orlando Magic
4/9/2025,Philadelphia 76ers,Washington Wizards
4/9/2025,Los Angeles Lakers,Dallas Mavericks
4/9/2025,Charlotte Hornets,Toronto Raptors
4/9/2025,Miami Heat,Chicago Bulls
4/9/2025,New Orleans Pelicans,Milwaukee Bucks
4/9/2025,Portland Trail Blazers,Utah Jazz
4/9/2025,San Antonio Spurs,Golden State Warriors
4/9/2025,Oklahoma City Thunder,Phoenix Suns
4/9/2025,Denver Nuggets,Sacramento Kings
4/9/2025,Houston Rockets,Los Angeles Clippers
4/10/2025,New York Knicks,Detroit Pistons
4/10/2025,Cleveland Cavaliers,Indiana Pacers
4/10/2025,Atlanta Hawks,Brooklyn Nets
4/10/2025,Minnesota Timberwolves,Memphis Grizzlies
4/11/2025,Milwaukee Bucks,Detroit Pistons
4/11/2025,Orlando Magic,Indiana Pacers
4/11/2025,Atlanta Hawks,Philadelphia 76ers
4/11/2025,Charlotte Hornets,Boston Celtics
4/11/2025,Cleveland Cavaliers,New York Knicks
4/11/2025,Washington Wizards,Chicago Bulls
4/11/2025,Miami Heat,New Orleans Pelicans
4/11/2025,Toronto Raptors,Dallas Mavericks
4/11/2025,Memphis Grizzlies,Denver Nuggets
4/11/2025,Brooklyn Nets,Minnesota Timberwolves
4/11/2025,Oklahoma City Thunder,Utah Jazz
4/11/2025,San Antonio Spurs,Phoenix Suns
4/11/2025,Golden State Warriors,Portland Trail Blazers
4/11/2025,Los Angeles Clippers,Sacramento Kings
4/11/2025,Houston Rockets,Los Angeles Lakers
4/13/2025,Orlando Magic,Atlanta Hawks
4/13/2025,Charlotte Hornets,Boston Celtics
4/13/2025,New York Knicks,Brooklyn Nets
4/13/2025,Indiana Pacers,Cleveland Cavaliers
4/13/2025,Washington Wizards,Miami Heat
4/13/2025,Detroit Pistons,Milwaukee Bucks
4/13/2025,Chicago Bulls,Philadelphia 76ers
4/13/2025,Los Angeles Clippers,Golden State Warriors
4/13/2025,Denver Nuggets,Houston Rockets
4/13/2025,Dallas Mavericks,Memphis Grizzlies
4/13/2025,Utah Jazz,Minnesota Timberwolves
4/13/2025,Oklahoma City Thunder,New Orleans Pelicans
4/13/2025,Los Angeles Lakers,Portland Trail Blazers
4/13/2025,Phoenix Suns,Sacramento Kings
4/13/2025,Toronto Raptors,San Antonio Spurs
4/16/2025,Miami Heat,Chicago Bulls
4/16/2025,Dallas Mavericks,Sacramento Kings
4/18/2025,Dallas Mavericks,Memphis Grizzlies
4/18/2025,Miami Heat, Atlanta Hawks
4/19/2025,Milwaukee Bucks, Indiana Pacers
4/19/2025,Los Angeles Clippers, Denver Nuggets
4/19/2025,Detroit Pistons, New York Knicks
4/20/2025,Memphis Grizzlies, Oklahoma City Thunder
4/20/2025,Orlando Magic, Boston Celtics
4/20/2025,Miami Heat, Cleveland Cavaliers
4/20/2025,Golden State Warriors, Houston Rockets
4/21/2025,Detroit Pistons, New York Knicks
4/21/2025,Los Angeles Clippers, Denver Nuggets

